"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 01 15:28:30 UTC 2026","Sun Mar 01 15:28:30 UTC 2026","230","checkly-automation-api","api-test","api.EnvVarAPITest","api.EnvVarAPITest","tc003_getEnvVarbyKey","tc003_getEnvVarbyKey",""
"passed","Sun Mar 01 15:28:30 UTC 2026","Sun Mar 01 15:28:31 UTC 2026","224","checkly-automation-api","api-test","api.EnvVarAPITest","api.EnvVarAPITest","tc004_getAllEnvVar","tc004_getAllEnvVar",""
"passed","Sun Mar 01 15:28:31 UTC 2026","Sun Mar 01 15:28:32 UTC 2026","1081","checkly-automation-api","api-test","api.EnvVarAPITest","api.EnvVarAPITest","tc005_deleteEnvVar","tc005_deleteEnvVar",""
"passed","Sun Mar 01 15:28:28 UTC 2026","Sun Mar 01 15:28:30 UTC 2026","1558","checkly-automation-api","api-test","api.EnvVarAPITest","api.EnvVarAPITest","tc001_createEnvVar","tc001_createEnvVar",""
"passed","Sun Mar 01 15:28:30 UTC 2026","Sun Mar 01 15:28:30 UTC 2026","647","checkly-automation-api","api-test","api.EnvVarAPITest","api.EnvVarAPITest","tc002_updateEnvVar","tc002_updateEnvVar",""
